Request ID,Employee ID,First Name,Last Name,Department,Job Role,Manager,Employment Type,Start Date,Corporate Card Required,Ready for Onboarding,HR Ready Date
ONB-1087,EMP-3087,Avery,Hayes,Information Technology,Automation Engineer,Chris Nolan,Regular Full-Time,2026-10-05,No,Yes,2026-09-23
ONB-1088,EMP-3088,Cameron,Ward,Operations,Operations Analyst,Robin Shaw,Regular Full-Time,2026-10-08,No,Yes,2026-09-25
ONB-1089,EMP-3089,Parker,Richardson,Sales,Business Development Representative,Pat Monroe,Regular Full-Time,2026-10-12,Y,Yes,2026-09-28
ONB-1090,EMP-3090,Quinn,Morgan,Marketing,Marketing Analyst,Sam Rivera,Regular Full-Time,2026-10-14,No,Yes,2026-10-09
ONB-1091,EMP-3091,Reese,Price,Finance,Financial Analyst,Dana Mitchell,Regular Full-Time,2026-10-19,Yes,Yes,2026-10-13
ONB-1092,EMP-3092,Drew,Bell,Human Resources,HR Generalist,Leslie Grant,Regular Full-Time,2026-10-20,No,Yes,2026-10-13
ONB-1093,EMP-3093,Skyler,Reed,Information Technology,Service Desk Analyst,Chris Nolan,Regular Full-Time,2027-01-04,No,Yes,2026-12-28
ONB-1094,EMP-3094,Hayden,Gray,Operations,Operations Coordinator,Robin Shaw,Regular Full-Time,2026-10-26,No,Yes,2026-10-17
ONB-1095,EMP-3095,Emerson,Murphy,Sales,Account Executive,Pat Monroe,Regular Full-Time,2026-10-29,No,Yes,2026-10-19
ONB-1096,EMP-3041,Alex,Carter,Sales,Account Executive,Pat Monroe,Regular Full-Time,2026-09-17,No,Yes,2026-09-11
ONB-1097,EMP-3097,Rowan,Coleman,Finance,Staff Accountant,Dana Mitchell,Regular Full-Time,2026-11-04,No,Yes,2026-10-23
ONB-1098,EMP-3098,Blake,Kelly,Human Resources,Recruiter,Leslie Grant,Regular Full-Time,2026-11-09,Yes,Yes,2026-10-27
ONB-1099,EMP-3099,Dakota,Perry,Information Technology,Systems Administrator,Chris Nolan,Regular Full-Time,2026-11-10,No,Yes,2026-10-27
ONB-1100,EMP-3100,Jamie,Ross,Operations,Project Coordinator,Robin Shaw,Regular Full-Time,2026-11-13,No,Yes,2026-11-08
